Newton  Lorentz
69.72   190.53
21.02   57.17
23.23   63.03
19.71   53.24
21.30   57.40
19.45   52.19
20.72   55.48
21.76   58.16
22.61   60.33
23.09   61.45
23.01   61.08
22.12   58.47
24.38   64.49
24.32   64.16
23.86   62.72
23.59   61.82
24.34   63.71
24.86   64.98
25.17   65.64
25.43   66.19
25.83   67.11
26.36   68.39
25.22   65.11
25.83   66.63
26.26   67.64
26.66   68.57
27.36   70.32
28.04   72.01
27.88   71.41
27.24   69.50
26.92   68.47
28.57   72.81
27.88   70.77
28.26   71.64
28.78   72.90
28.52   72.00
28.69   72.33
29.78   75.14
30.08   75.80
