Newton  Lorentz
14.12   36.59
15.35   39.64
16.48   42.42
19.42   49.91
20.83   53.43
21.45   54.89
22.22   56.73
22.46   57.19
24.55   62.47
22.67   57.42
22.68   57.29
26.23   66.37
23.77   59.80
24.82   62.37
24.09   60.32
25.94   64.98
26.79   67.03
25.89   64.53
26.62   66.26
26.84   66.69
26.81   66.44
26.75   66.14
28.19   69.73
28.05   69.22
27.90   68.67
27.74   68.09
29.46   72.41
29.22   71.63
28.98   70.84
29.34   71.63
30.32   74.02
29.19   70.92
29.49   71.55
31.23   75.91
31.71   77.00
30.49   73.67
30.92   74.65
31.97   77.21
31.13   74.88
