Newton  Lorentz
19.85   54.19
17.65   48.00
18.00   48.78
18.39   49.68
18.26   49.17
19.05   51.15
20.08   53.82
22.14   59.29
23.52   62.89
22.31   59.40
22.51   59.78
24.11   63.99
23.30   61.61
22.23   58.53
22.42   58.88
22.72   59.54
22.82   59.64
23.51   61.36
24.48   63.85
24.12   62.69
24.68   64.07
25.05   64.91
25.54   66.10
25.54   65.91
25.66   66.09
25.76   66.20
26.14   67.07
26.49   67.87
26.67   68.20
27.13   69.29
27.57   70.33
26.80   68.05
27.78   70.59
27.13   68.65
27.20   68.67
27.26   68.66
27.87   70.17
28.77   72.48
28.62   71.91
