Newton  Lorentz
13.02   34.06
23.38   61.15
20.32   52.93
23.49   61.09
20.84   53.98
26.03   67.46
26.55   68.66
26.47   68.29
24.55   63.09
28.05   72.12
25.10   64.21
27.71   70.91
26.19   66.74
27.03   68.79
27.51   69.89
29.64   75.33
28.29   71.61
28.60   72.26
29.91   75.56
29.08   73.23
29.03   72.92
28.27   70.77
29.79   74.60
29.65   74.08
29.95   74.71
31.63   78.96
30.47   75.75
30.69   76.17
30.67   75.95
30.41   75.13
32.32   79.98
30.92   76.14
31.04   76.30
31.34   76.95
30.82   75.40
32.97   80.90
32.79   80.27
31.98   77.99
32.61   79.50
